127.0.0.1 - - [19/Jul/2023:17:21:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:21 +0900] "GET /book/start.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/book/list.do HTTP/1.1" 200 7870
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/css/style.css HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/javascript/script.js HTTP/1.1" 200 9437
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/10%EB%B0%B0%EC%86%8D%20%EB%8F%85%EC%9D%BC%EC%96%B4%ED%9A%8C%ED%99%94.jpg HTTP/1.1" 404 900
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%EB%8F%85%EC%9D%BC%EC%96%B4%20%EB%93%A3%EA%B8%B0%20%EA%B3%A0%EA%B8%89%204%EC%A3%BC%20%EC%99%84%EC%84%B1.jpg HTTP/1.1" 404 935
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%EB%8F%85%EC%9D%BC%EC%96%B4%20%ED%91%9C%ED%98%84%20Best%20300.jpg HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%EB%8F%85%EC%9D%BC%EC%96%B4%ED%9A%8C%ED%99%94%20%ED%95%B5%EC%8B%AC%ED%8C%A8%ED%84%B4%20233.jpg HTTP/1.1" 404 922
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%EB%A0%88%EC%A0%84%EB%93%9C%20%EB%8F%85%EC%9D%BC%EC%96%B4%20%ED%9A%8C%ED%99%94%EC%82%AC%EC%A0%84.jpg HTTP/1.1" 404 928
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%EC%A4%91%EA%B5%AD%EC%96%B4%20%EB%93%A3%EA%B8%B0%20%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D.jpg HTTP/1.1" 404 919
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%ED%95%9C%20%EA%B6%8C%EC%9C%BC%EB%A1%9C%20%EA%B0%80%EB%B3%8D%EA%B2%8C%20%EB%81%9D%EB%82%B4%EB%8A%94%20%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%20%EC%A4%91%EA%B5%AD%EC%96%B4.jpg HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%EC%A4%91%EA%B5%AD%EC%96%B4%20%ED%86%B5%EB%B2%88%EC%97%AD%20%EB%8C%80%ED%95%99%EC%9B%90%20%EC%9E%85%EC%8B%9C%20%EB%A7%88%EC%8A%A4%ED%84%B0.jpg HTTP/1.1" 404 970
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%ED%95%AD%EA%B3%B5%EA%B0%9D%EC%8B%A4%EC%84%9C%EB%B9%84%EC%8A%A4%20%EC%A4%91%EA%B5%AD%EC%96%B4.jpg HTTP/1.1" 404 925
0:0:0:0:0:0:0:1 - - [19/Jul/2023:17:21:24 +0900] "GET /book/uploads/%EA%B0%80%EC%9E%A5%20%EC%89%AC%EC%9A%B4%20%EC%97%AC%ED%96%89%20%EC%A4%91%EA%B5%AD%EC%96%B4.jpg HTTP/1.1" 404 922
