127.0.0.1 - - [10/Aug/2023:15:54:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:09 +0900] "GET /book/index.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/list.do HTTP/1.1" 200 5086
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%EA%B7%B8%EB%A0%87%EA%B2%8C%20%EC%8A%A4%ED%83%80%20%EB%B3%B4%EC%9D%B4.jpg HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%EB%B1%80%ED%8C%8C%EC%9D%B4%EC%96%B4.jpg HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%ED%9C%B4%EA%B0%80%EC%A7%80%EC%97%90%EC%84%9C%20%EC%83%9D%EA%B8%B4%EC%9D%BC.jpg HTTP/1.1" 404 907
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0.jpg HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/4%EC%9B%94%EC%9D%98%20%EC%9C%A0%ED%98%B9.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%EB%84%88%EB%8A%94%20%ED%94%BC%EC%9E%90.jpg HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%EA%B3%A0%EB%A0%88.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%EB%B0%9D%EC%9D%80%20%EB%B0%A4.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%EB%A7%88%EC%A7%80%EB%A7%89%EB%AF%B8%EC%85%98.jpg HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:12 +0900] "GET /book/uploads/%EA%BF%88%EA%BE%B8%EB%8A%94%20%EB%82%AD%EC%86%A1.jpg HTTP/1.1" 404 880
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:14 +0900] "GET /book/view.do?idx=160 HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:14 +0900] "GET /book/uploads/%EA%B7%B8%EB%A0%87%EA%B2%8C%20%EC%8A%A4%ED%83%80%20%EB%B3%B4%EC%9D%B4.jpg HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:17 +0900] "GET /book/bookorder.do?idx=160 HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:31 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:54:31 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:55:57 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:55:57 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:55:58 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:55:58 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:03 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:03 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:03 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:03 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:03 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:03 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:04 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:56:04 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:06 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:06 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:06 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:06 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:07 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:07 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:07 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:07 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:07 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:07 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:15 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:15 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:15 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:15 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:15 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:15 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:16 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:17 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:17 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:27 +0900] "GET /book/servlet/book.OrderController HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:41 +0900] "GET /book/Bookorder.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [10/Aug/2023:15:57:41 +0900] "GET /book/uploads/ HTTP/1.1" 404 828
